sheet,method,run_id,pipe_id,points_before,points_after,length_px_before,length_px_after,length_change_px,length_change_percent,max_discarded_deviation_px,retained_topology,retained_length_budget,retained_deviation,retained_reversal
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-50,6,3,84.94651332198652,84.94581074163526,-0.0007025803512590301,-0.0008270855668859841,0.11944365387654146,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-51,9,2,137.27999999999997,137.27999999999997,0.0,0.0,0.0,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-52,12,3,218.1561918348376,218.15333316327357,-0.002858671564041515,-0.001310378376152517,0.16970562748477783,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-53,3,2,29.35962814249673,29.359564029460802,-6.411303592912532e-05,-0.0002183714167562109,0.019618819932819033,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-54,19,4,272.7580747839664,272.6893336517,-0.06874113226638201,-0.025202235468492477,0.46954941516655946,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-55,3,2,25.679999999999836,25.679999999999836,0.0,0.0,0.0,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-56,7,3,97.66637216539664,97.66581074163528,-0.0005614237613542628,-0.0005748383490721857,0.11116538083559302,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-57,13,5,145.83107100012583,145.8272063495071,-0.0038646506187376417,-0.0026500872497427566,0.16970562748477783,,8 10,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-58,7,2,80.87999999999988,80.87999999999988,0.0,0.0,7.105427357601002e-15,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-59,47,6,639.1888067284382,638.5903006958381,-0.5985060326000848,-0.09363524928783092,0.9180099479183286,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-60,3,2,26.40000000000009,26.40000000000009,0.0,0.0,0.0,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-61,4,2,29.52053096305619,29.52024390143165,-0.0002870616245402857,-0.000972413487072886,0.0648775127466132,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-62,5,2,48.600540529573024,48.600148147922255,-0.00039238165076938003,-0.0008073606723172535,0.08711084557006933,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-63,4,2,32.760540529573106,32.76021977948255,-0.0003207500905588745,-0.0009790744761043603,0.07120831348814388,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-64,4,2,28.56053096305593,28.560252099727638,-0.00027886332829041294,-0.0009763940616199771,0.06302465376413603,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-65,4,2,39.72057141561448,39.72018126846858,-0.0003901471459002437,-0.0009822294392947068,0.08193316082841469,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-66,4,2,28.513984925390858,28.51054541744163,-0.0034395079492277603,-0.012062529871666517,0.16970562748481302,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-67,5,2,43.56054052957306,43.56016528894255,-0.0003752406305110867,-0.0008614232650679287,0.08330546902028967,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-68,4,2,40.39099996011866,40.39029586422965,-0.00070409588901299,-0.0017431999448099863,0.11266072462791876,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-69,4,2,36.57296156614714,36.572656452601166,-0.00030511354597706486,-0.0008342598819218558,0.064704077568533,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-70,5,2,31.921310150981256,31.919999999999618,-0.001310150981638003,-0.004104314564287172,0.11999999999989086,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-71,5,2,28.440000000000055,28.440000000000055,0.0,0.0,0.0,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-72,7,2,134.52017595270087,134.52005352362895,-0.0001224290719221699,-9.101167988749705e-05,0.08349684456554363,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-73,5,2,31.921319717498847,31.920000000000073,-0.001319717498773798,-0.00413428238698523,0.12000000000011823,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-74,5,2,31.921319717498847,31.920000000000073,-0.001319717498773798,-0.00413428238698523,0.11999999999989086,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-75,5,2,31.92131015098126,31.919999999999618,-0.0013101509816415557,-0.0041043145642983,0.12000000000011823,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-76,5,2,31.32181776461277,31.320229884213976,-0.001587880398794539,-0.005069566558134177,0.1048268167935143,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-77,5,2,24.361713936002907,24.360295564709517,-0.0014183712933899528,-0.0058221326180741976,0.09930913989001224,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-78,4,2,42.939977128380036,42.935523753647345,-0.004453374732690918,-0.010371162330562999,0.16970562748493861,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-79,5,2,26.641817764612927,26.640270268899627,-0.001547495713300151,-0.005808521501695791,0.10216112571405886,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-80,4,2,35.04052172926803,35.04020547884954,-0.00031625041848570845,-0.0009025277104294837,0.07273929947545003,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-81,4,2,32.040458008595,32.040224718313034,-0.00023329028196883428,-0.0007281115703971931,0.06112316680721887,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-82,16,2,286.9200000000001,286.9200000000001,0.0,0.0,5.684341886080802e-14,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-83,4,2,30.59999999999991,30.59999999999991,0.0,0.0,0.0,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-84,16,2,285.72,285.72,0.0,0.0,2.842170943040401e-14,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-85,4,2,31.799999999999955,31.799999999999955,0.0,0.0,0.0,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-86,5,2,30.720000000000027,30.720000000000027,0.0,0.0,3.552713678800501e-15,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-87,4,2,38.63999999999987,38.63999999999987,0.0,0.0,3.552713678800501e-15,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-88,6,2,105.24000000000024,105.24000000000024,0.0,0.0,1.4210854715202004e-14,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-89,57,13,685.3404084996664,684.7086971157255,-0.6317113839409103,-0.09217483401042123,0.9543074466348757,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-90,4,2,24.60109081894806,24.60029268118575,-0.0007981377623096364,-0.0032443185880802533,0.08780383339317305,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-91,55,5,981.7048185843489,981.2781396198842,-0.4266789644647133,-0.04346306103294864,0.9912930815243032,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-92,58,13,713.6468744175855,712.9500465557933,-0.6968278617922579,-0.09764323039471674,0.8711114128257863,,,,
